cntry,year,gov_exp_public_services,gov_exp_defence,gov_exp_economic,gov_exp_health,gov_exp_culture,gov_exp_education,gov_exp_social
AL,2002,,1.303,,2.663,,3.178,
AL,2004,,1.366,,2.722,,3.165,
AL,2006,,1.695,,2.661,,3.125,
AL,2008,,1.751,,2.302,,3.08,
AL,2010,,1.543,,2.36,,3.18,
AL,2012,,1.448,,2.487,,3.414,
AL,2014,,1.254,,2.62,,3.298,
AL,2016,,1.106,,2.795,,3.734,
AL,2018,,1.221,,2.868,,3.476,
AL,2020,,1.27,,2.948,,3.165,
AL,2023,,1.663,,3.613,,2.911,
AT,2002,8.3,0.825,5.2,7.45,1.4,5.225,20.7
AT,2004,7.75,0.8,7.65,7.75,1.4,4.85,20.4
AT,2006,7.7,0.75,6.35,7.6,1.45,4.75,19.55
AT,2008,7.55,0.8,7.2,7.95,1.4,5.0,20.3
AT,2010,7.55,0.65,6.55,8.05,1.3,5.1,20.95
AT,2012,7.3,0.6,6.65,8.05,1.3,5.05,21.0
AT,2014,6.85,0.6,6.5,8.25,1.25,5.0,21.35
AT,2016,6.25,0.6,6.0,8.3,1.2,4.9,20.9
AT,2018,5.85,0.6,6.0,8.35,1.2,4.8,20.25
AT,2020,5.95,0.6,9.75,9.65,1.2,5.0,22.35
AT,2023,5.633,0.633,7.533,9.3,1.233,4.967,21.833
BE,2002,10.8,1.175,4.85,6.45,1.075,5.725,16.9
BE,2004,9.4,1.1,6.2,6.85,1.3,5.65,17.2
BE,2006,8.65,1.0,5.6,6.75,1.25,5.55,16.95
BE,2008,8.9,1.05,6.4,7.55,1.25,5.85,18.35
BE,2010,8.75,0.95,7.15,7.75,1.3,6.1,18.95
BE,2012,8.7,0.9,7.4,7.95,1.35,6.25,19.75
BE,2014,8.3,0.85,7.1,7.9,1.25,6.3,19.6
BE,2016,7.65,0.8,6.6,7.6,1.3,6.25,19.45
BE,2018,7.05,0.8,6.65,7.55,1.3,6.15,19.25
BE,2020,7.25,0.9,7.35,8.5,1.25,6.35,21.6
BE,2023,6.8,1.067,6.433,7.867,1.2,6.267,20.2
BG,2002,7.5,2.725,4.45,4.525,0.775,3.925,12.55
BG,2004,5.65,1.85,4.75,5.35,0.75,4.05,10.8
BG,2006,5.9,1.5,4.75,3.9,0.7,3.6,10.45
BG,2008,6.05,1.2,5.2,4.2,0.75,4.0,11.8
BG,2010,3.85,1.4,4.65,4.25,0.7,3.45,12.5
BG,2012,3.55,1.1,5.4,4.45,0.8,3.5,12.9
BG,2014,3.85,1.3,7.35,5.4,1.35,4.0,13.15
BG,2016,3.4,1.1,3.95,4.95,0.85,3.45,12.3
