group,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,group_order,cntry,variable,var_label
15-29,239,0.488327581714042,0.43749282226411446,0.6300490116675911,-0.7399358633234437,-0.41853379819062997,0.407506551570201,-0.6463938146775511,-0.0041273983257056075,0.2170619645727533,-0.5853224280204377,0.04002237275545256,0.5337709169658528,-0.2503210366479575,-0.3252606065016283,0,AT,age,Age group
30-44,414,0.4351745670647982,0.5004241988124842,0.6793147556375918,-0.4124961158079694,-0.22525725267385968,0.44544955836327715,-0.7194915299579783,-0.16271276166121462,-0.07236205273625118,-0.7234632470499729,-0.12021691090714196,0.5898694772250379,-0.06410127003951731,-0.4411428508342243,1,AT,age,Age group
45-59,634,0.40231740969140517,0.5414960001010666,0.650766452267396,-0.19558125372498492,-0.1740501130947506,0.48044260316097764,-0.6010305842199909,-0.24007447346727884,-0.2540448446698932,-0.9002285688609459,-0.25065200127981124,0.5961312261842313,0.03693707878041403,-0.4205525288436349,2,AT,age,Age group
60-74,632,0.39577006126433173,0.6597427330816188,0.8508697256682144,-0.024500642705038635,0.04138343154889318,0.6829553430935514,-0.8090931986656763,-0.5794676726555453,-0.3406917545157005,-1.2141514391578283,-0.3863577108030657,0.7553062293749165,0.23359500149720636,-0.6942804356606109,3,AT,age,Age group
75+,394,0.07908838253424205,0.5626749639208026,0.8201268783032022,0.43290355688378895,0.49307588316848866,0.9134150580120263,-0.8115948176739857,-0.6973198397676846,-0.5883800585843412,-1.4725673799373824,-0.6606196853291605,0.6914009211120024,0.613131499354768,-0.7544573287208349,4,AT,age,Age group
City & suburbs,755,0.5156917951285549,0.5724919335485477,0.7369746867828175,-0.367319617584442,-0.167015346997726,0.498074587687054,-0.7312925559709862,-0.24774085269591406,-0.16768489421899552,-0.9241065435790616,-0.19203321422316735,0.6547333101656826,-0.012086792298371316,-0.4895167043334502,0,AT,domicil,Urbanisation
Town,620,0.35128433202847836,0.5503110939059366,0.6737434740796263,-0.22485930838029422,-0.10583585473066719,0.6070354416262166,-0.6104317619477706,-0.3492590275049677,-0.2406465534752018,-0.9325388187217497,-0.27396701338949103,0.6120272839927815,0.09211342617175172,-0.47984539472636917,1,AT,domicil,Urbanisation
Village / rural,937,0.2938661453772866,0.5009898970787332,0.7146954548301228,-0.1375777477051619,-0.0677698212760921,0.5578654819344365,-0.7326105225687656,-0.3124903326774094,-0.15457399501087868,-0.9271805225540223,-0.2626294573958714,0.607842675954428,0.11768863682388613,-0.5225669156594229,2,AT,domicil,Urbanisation
Low (<12 yrs),718,0.13861756396126912,0.5065229090028918,0.8027495647196985,0.053051334357176815,0.17020620601520592,0.7709414968932053,-0.7218803628456588,-0.5659634837858148,-0.2770976163901815,-1.1178616310749954,-0.4187805611679693,0.6546362368612951,0.33139967908852935,-0.6439219233157369,0,AT,education,Education
Medium (12-15 yrs),1196,0.4117510976968919,0.4798365026939825,0.6612392077279007,-0.2871043910368626,-0.18581924390895155,0.4679075988487946,-0.6675742831788857,-0.2024716812402326,-0.10943860092210018,-0.8164114504144391,-0.17136631787988243,0.5705378552109417,-0.0014827886003746537,-0.4350433211396281,1,AT,education,Education
High (16+ yrs),353,0.673762930519869,0.7092137332878288,0.7211147104089387,-0.5133940724718195,-0.34816977328494625,0.4031925803899262,-0.7265521594989136,-0.14010450141151273,-0.1899331205647441,-0.9519920877123211,-0.1560540925857321,0.7151642218483836,-0.15279042178894653,-0.4333283304552132,2,AT,education,Education
Men,975,0.4135774645642401,0.44646986176383563,0.6648190490578088,-0.34572561586252365,-0.12749667290040012,0.41298208982118134,-0.597241079442748,-0.17667800922519936,-0.1303000508139462,-0.7929772114929278,-0.16989993258087802,0.5556444554108222,-0.01991823037429582,-0.3869595443339736,0,AT,gender,Gender
Women,1338,0.36444074227308826,0.6249900053635778,0.7576416536458951,-0.14456258112147996,-0.0992285477323787,0.6738594817399178,-0.8019629585571425,-0.4107825478513322,-0.2259937266229443,-1.0529522450878113,-0.3048350764792224,0.6913158295047366,0.14335611762868639,-0.606381288857738,1,AT,gender,Gender
Low (0-3),831,0.5787136805559582,0.5972098109947206,0.7355494538630606,-0.6837149448717686,-0.3536309121034736,0.5079084255748029,-0.6790473251000069,-0.24371573236058358,0.02016658416473231,-0.7914355105817676,-0.06418508195369242,0.6663796324288905,-0.17623666541325197,-0.46138152873029514,0,AT,religiosity,Religiosity
Medium (4-6),755,0.3039732955505294,0.5129352902640304,0.6602118695885758,-0.09792191262855181,0.04711076357716107,0.6108946936772847,-0.6881786196161268,-0.2557871139842561,-0.3147669973103475,-1.0281253240937263,-0.34630634195118143,0.5865735799263031,0.18669451487529798,-0.4720086644065231,1,AT,religiosity,Religiosity
High (7-10),712,0.20038029605357047,0.4861422966845007,0.7365728686591985,0.24739924993556484,0.07255775533205142,0.5440167724571465,-0.7638328256172088,-0.4298150451010319,-0.3266758485242165,-1.019773423859364,-0.3820229921100033,0.6113575826718495,0.2879912592415876,-0.5968239353591203,2,AT,religiosity,Religiosity
