cntry,ess_trust_mean,ess_trust_mean_year,ess_religiosity_mean,ess_religiosity_mean_year,estat_gini,estat_gini_year,estat_gdp_pps,estat_gdp_pps_year,estat_tertiary_pct,estat_tertiary_pct_year,estat_hly,estat_hly_year,eige_gei,eige_gei_year,ti_cpi,ti_cpi_year,vdem_ldi,vdem_ldi_year,whr_ladder,whr_ladder_year,estat_foreign_born_pct,estat_foreign_born_pct_year,oecd_union_density,oecd_union_density_year
AL,3.01,2012,7.26,2012,30.2,2023.0,38.0,2023.0,,,,,,,42.0,2024.0,0.396,2024,5.66,2025.0,1.7,2024.0,,
AT,5.88,2023,4.61,2023,28.1,2023.0,121.0,2023.0,43.5,2023.0,60.4,2023.0,68.3,2021.0,67.0,2024.0,0.762,2024,6.84,2025.0,25.5,2024.0,20.2,2024.0
BE,5.54,2023,4.15,2023,24.3,2023.0,118.0,2023.0,50.0,2023.0,64.0,2023.0,74.0,2021.0,69.0,2024.0,0.805,2024,6.93,2025.0,20.0,2024.0,47.5,2023.0
BG,3.73,2023,3.89,2023,37.2,2023.0,63.0,2023.0,35.8,2023.0,68.6,2023.0,55.9,2021.0,43.0,2024.0,0.508,2024,5.7,2025.0,4.4,2024.0,,
CH,5.84,2023,4.48,2023,31.5,2023.0,154.0,2023.0,51.9,2023.0,57.6,2023.0,,,81.0,2024.0,0.847,2024,7.02,2025.0,31.1,2024.0,12.7,2023.0
CY,4.06,2023,6.76,2023,29.3,2023.0,97.0,2023.0,61.6,2023.0,65.0,2023.0,62.8,2021.0,56.0,2024.0,0.651,2024,6.13,2025.0,14.9,2024.0,,
CZ,5.21,2020,2.2,2020,24.4,2023.0,91.0,2023.0,33.7,2023.0,62.0,2023.0,56.5,2021.0,56.0,2024.0,0.817,2024,6.82,2025.0,9.5,2024.0,9.4,2023.0
DE,5.19,2023,3.92,2023,29.4,2023.0,118.0,2023.0,37.9,2023.0,62.5,2023.0,68.7,2021.0,75.0,2024.0,0.792,2024,6.88,2025.0,19.8,2024.0,14.1,2024.0
DK,7.06,2018,3.82,2018,28.2,2023.0,126.0,2023.0,49.0,2023.0,56.3,2023.0,77.4,2021.0,90.0,2024.0,0.883,2024,7.54,2025.0,14.2,2024.0,60.4,2024.0
EE,5.69,2023,3.18,2023,31.8,2023.0,80.0,2023.0,43.5,2023.0,58.1,2023.0,61.9,2021.0,76.0,2024.0,0.85,2024,6.41,2025.0,14.9,2024.0,5.6,2023.0
ES,5.3,2023,4.1,2023,31.5,2023.0,91.0,2023.0,52.0,2023.0,62.1,2023.0,74.0,2021.0,56.0,2024.0,0.745,2024,6.54,2025.0,18.5,2024.0,12.5,2023.0
FI,6.91,2023,4.45,2023,26.6,2023.0,103.0,2023.0,39.2,2023.0,57.1,2023.0,75.5,2021.0,88.0,2024.0,0.802,2024,7.76,2025.0,9.2,2024.0,51.4,2024.0
FR,4.56,2023,4.31,2023,29.7,2023.0,99.0,2023.0,51.9,2023.0,63.8,2023.0,75.1,2021.0,67.0,2024.0,0.799,2024,6.59,2025.0,13.8,2024.0,10.1,2019.0
GB,5.4,2023,3.42,2023,33.5,2018.0,99.0,2023.0,49.4,2019.0,61.2,2018.0,,,71.0,2024.0,0.752,2024,6.69,2025.0,17.1,2024.0,22.0,2024.0
GR,4.46,2023,6.35,2023,31.8,2023.0,68.0,2023.0,44.5,2023.0,66.6,2023.0,54.5,2021.0,49.0,2024.0,0.576,2024,5.7,2025.0,14.2,2024.0,13.4,2020.0
HR,4.57,2023,5.58,2023,29.7,2023.0,78.0,2023.0,38.8,2023.0,61.4,2023.0,57.0,2021.0,47.0,2024.0,0.619,2024,6.01,2025.0,13.6,2024.0,,
HU,4.47,2023,4.3,2023,28.6,2023.0,76.0,2023.0,30.1,2023.0,63.6,2023.0,53.7,2021.0,41.0,2024.0,0.318,2024,5.94,2025.0,7.1,2024.0,7.4,2020.0
IE,5.44,2023,5.06,2023,27.4,2023.0,218.0,2023.0,62.7,2023.0,66.1,2023.0,71.5,2021.0,77.0,2024.0,0.83,2024,6.93,2025.0,23.1,2024.0,22.2,2024.0
IL,5.21,2023,5.04,2023,,,,,,,,,,,64.0,2024.0,0.617,2024,7.19,2025.0,22.3,2024.0,27.2,2023.0
IS,6.62,2023,4.71,2023,24.0,2020.0,136.0,2023.0,43.4,2023.0,62.4,2018.0,,,77.0,2024.0,0.759,2024,7.54,2025.0,25.1,2024.0,90.6,2023.0
IT,4.53,2023,5.39,2023,31.5,2023.0,98.0,2023.0,30.6,2023.0,69.1,2023.0,65.0,2021.0,54.0,2024.0,0.705,2024,6.57,2025.0,11.0,2024.0,30.2,2024.0
LT,5.1,2023,5.15,2023,35.7,2023.0,86.0,2023.0,57.4,2023.0,60.9,2023.0,59.5,2021.0,63.0,2024.0,0.734,2024,6.7,2025.0,6.1,2024.0,8.3,2022.0
LU,5.01,2004,4.34,2004,30.6,2023.0,248.0,2023.0,60.2,2023.0,60.2,2022.0,72.8,2021.0,81.0,2024.0,0.783,2024,7.06,2025.0,51.2,2024.0,29.7,2020.0
LV,3.95,2023,3.47,2023,34.0,2023.0,70.0,2023.0,45.1,2023.0,52.7,2023.0,60.1,2021.0,59.0,2024.0,0.765,2024,6.37,2025.0,11.8,2024.0,10.3,2021.0
ME,4.19,2023,5.65,2023,31.5,2022.0,52.0,2023.0,40.4,2020.0,,,,,46.0,2024.0,0.478,2024,6.14,2025.0,14.4,2024.0,,
MK,3.37,2020,6.99,2020,30.3,2023.0,41.0,2023.0,32.3,2023.0,,,,,40.0,2024.0,0.374,2024,5.72,2025.0,8.3,2024.0,,
NL,6.26,2023,3.83,2023,26.5,2023.0,131.0,2023.0,54.5,2023.0,59.0,2023.0,74.9,2021.0,78.0,2024.0,0.761,2024,7.22,2025.0,16.2,2024.0,13.8,2023.0
NO,6.7,2023,3.18,2023,24.7,2023.0,169.0,2023.0,56.2,2023.0,65.0,2023.0,,,81.0,2024.0,0.839,2024,7.24,2025.0,18.2,2024.0,52.1,2024.0
PL,4.55,2023,5.84,2023,27.0,2023.0,77.0,2023.0,46.3,2023.0,63.1,2023.0,57.4,2021.0,53.0,2024.0,0.616,2024,6.77,2025.0,4.5,2024.0,9.4,2022.0
