cntry,n,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,country_name,year,round
AT,2313,0.3882067494961278,0.5386449903845563,0.7127460523880341,-0.24185930572464087,-0.11289699208064957,0.5476806547532251,-0.7029449241649084,-0.2975479910855432,-0.17970947149904515,-0.9272098626469186,-0.23957086154994534,0.6256955213862953,0.06438505173252472,-0.5002533559780401,Austria,2023,11
BE,1577,0.36548127289031523,0.6007011236833483,0.7977406595520409,0.09409664455498334,-0.3113472878851804,0.20284824678152802,-1.092201806318855,-0.4847171143202806,0.15887248302265294,-0.6324013989477726,-0.03601588101160152,0.6992208916176945,-0.0048007988495563465,-0.7884594603195677,Belgium,2023,11
BG,2222,0.10387986974821385,0.1984452892152602,0.45286042080970274,-0.16388622490952195,-0.045503826851731134,0.42596125277277297,-0.6143194123641939,0.10881888249490423,-0.18899605348663218,-0.376305311885441,-0.1538071652079531,0.3256528550124814,0.0731688073268283,-0.25275026493464475,Bulgaria,2023,11
CH,1367,0.6187979433555596,0.6973633036238027,0.8755410237513012,-0.04440330457288916,-0.5875151774406351,0.16821264946663395,-1.0194339298994801,-0.6643306366574238,0.22166807048853168,-0.6281170003714587,0.0707830044908776,0.7864521636875519,-0.15442628467335434,-0.8418822832784519,Switzerland,2023,11
CY,665,0.39877343564894513,0.5214196770166936,0.6117482417026324,0.3040821592512222,-0.25874669080853996,0.7351732536800613,-0.923594637023459,-0.5582078964731598,-0.4765842067593671,-0.6227050728621523,-0.23350528132419138,0.566583959359663,0.26016957404091456,-0.7409012667483094,Cyprus,2023,11
DE,2381,0.5893692530607796,0.7521424951438223,0.9895680986712784,-0.03757741322031627,-0.42445849171642874,0.458530675985199,-1.1646588538885922,-0.702832595241302,0.03291904622839214,-0.8634771214146001,-0.08039627404180948,0.8708552969075503,-0.000959886058627692,-0.9337457245649471,Germany,2023,11
EE,1282,0.4834308814726138,0.6144283241559496,0.7148820589841219,0.09413907391926835,-0.2559549835612639,0.53426427383103,-1.1826678837264508,-0.7139944260474326,-0.07351577590338428,-0.5130049933396493,-0.03429793981188348,0.6646551915700358,0.12414945472967816,-0.948638710946579,Estonia,2023,11
ES,1834,0.5603967181959958,0.7845991422737114,0.9935795860713307,0.25665093741089196,-0.25663454091881466,0.6089081571418111,-1.3600573438510521,-0.8967620676461036,-0.1907375598028131,-0.8967373554538939,-0.17569273235357039,0.8890893641725209,0.2029748512112961,-1.1284254854926334,Spain,2023,11
FI,1521,0.48000078824562137,0.8448452107036319,0.9215125143538274,-0.3029573497603493,-0.15220543395529448,0.40863805189744257,-1.4063516809235739,-0.8834990410209129,0.19235934461068996,-0.5242652104024043,0.04936497415130236,0.8831788625287297,-0.015845059306447508,-1.1449253609722432,Finland,2023,11
FR,1744,0.38829821947748544,0.7758811794582249,0.8488588954885936,0.10670780180471577,-0.3019404988469573,0.4392806766738062,-1.3179346212152585,-1.0137571320111642,0.3192566391456945,-0.6413947951686777,0.02205335448483412,0.8123700374734093,0.08145208618581815,-1.1658458766132114,France,2023,11
GB,1536,0.4830811480909153,0.7313130976594371,0.8273035375093024,-0.01749963548679365,-0.3673538702584254,0.39134008905440787,-1.0721183227380642,-0.49938138720931685,-0.2960126895023292,-0.5739777501504598,-0.1290973608602998,0.7793083175843698,0.0028614929568896285,-0.7871161838448706,United Kingdom,2023,11
GR,2748,0.32751627699441516,0.3058937750135377,0.47673618828336173,0.0621547208005331,-0.2798850510739429,0.7023488780963288,-0.6857017832415851,-0.42596545662722435,-0.1470478179936387,-0.4932871608243399,-0.10427290060785446,0.39131498164844974,0.1618053961022339,-0.5558336199344047,Greece,2023,11
HR,1549,0.1834422304683743,0.6009944478054721,0.7780754566811812,0.30260075516666834,0.1947789072314857,0.6440381289949487,-0.8364191349609152,-0.4322466984589082,-0.44699578128320266,-1.2676767307437247,-0.5104100938528511,0.6897571726314187,0.3807512988550462,-0.6343329167099117,Croatia,2023,11
HU,2118,0.17414632845661598,0.2903756653918257,0.3238006027172856,-0.05864157421025985,-0.14666857751911846,0.41499026741451006,-0.5385037393376575,-0.1212654376214846,0.057314277426109485,-0.5427075786085828,-0.10374899090861914,0.3070881340545557,0.0698933718950439,-0.3301152048915019,Hungary,2023,11
