region,indicator,value,year
NO0A,gdp_pps,42800.0,2021
NO06,gdp_pps,39900.0,2021
NO07,gdp_pps,39100.0,2021
NO08,gdp_pps,48900.0,2021
NO09,gdp_pps,35300.0,2021
NO02,gdp_pps,34700.0,2021
SK01,gdp_pps,61000.0,2024
PL82,gdp_pps,22900.0,2024
PL84,gdp_pps,24300.0,2024
AT22,gdp_pps,44400.0,2024
AT31,gdp_pps,47500.0,2024
LV00,gdp_pps,27300.0,2024
DE5,gdp_pps,52700.0,2024
DE7,gdp_pps,52900.0,2024
HR06,gdp_pps,25500.0,2024
AT33,gdp_pps,50900.0,2024
SI03,gdp_pps,28800.0,2024
SI04,gdp_pps,44100.0,2024
EL62,gdp_pps,25300.0,2024
DE8,gdp_pps,35000.0,2024
EL64,gdp_pps,23900.0,2024
RS21,gdp_pps,13100.0,2024
BG33,gdp_pps,20200.0,2024
FRD2,gdp_pps,33000.0,2024
EE00,gdp_pps,31600.0,2024
ES41,gdp_pps,34500.0,2024
PL61,gdp_pps,25300.0,2024
AT11,gdp_pps,34400.0,2024
SK03,gdp_pps,24700.0,2024
HU11,gdp_pps,67200.0,2024
FRM0,gdp_pps,34500.0,2024
ES11,gdp_pps,33700.0,2024
FRJ1,gdp_pps,30400.0,2024
AT34,gdp_pps,49900.0,2024
HU23,gdp_pps,20000.0,2024
EL65,gdp_pps,22700.0,2024
HU31,gdp_pps,18900.0,2024
SE33,gdp_pps,43100.0,2024
DEG,gdp_pps,33200.0,2024
ES30,gdp_pps,49900.0,2024
NL23,gdp_pps,41300.0,2024
FRK2,gdp_pps,40000.0,2024
BE25,gdp_pps,46700.0,2024
RS22,gdp_pps,15000.0,2024
HU33,gdp_pps,21000.0,2024
FRG0,gdp_pps,34600.0,2024
SE22,gdp_pps,38300.0,2024
BE34,gdp_pps,28900.0,2024
SE11,gdp_pps,61100.0,2024
NL41,gdp_pps,55400.0,2024
DE4,gdp_pps,34300.0,2024
ITI,gdp_pps,41800.0,2024
DE2,gdp_pps,54000.0,2024
DE3,gdp_pps,50600.0,2024
ITH,gdp_pps,45600.0,2024
PT11,gdp_pps,28300.0,2024
ES22,gdp_pps,43600.0,2024
DE9,gdp_pps,42900.0,2024
DEA,gdp_pps,43500.0,2024
ES63,gdp_pps,25700.0,2024
PL81,gdp_pps,22100.0,2024
ES51,gdp_pps,41800.0,2024
FRI2,gdp_pps,29500.0,2024
ES53,gdp_pps,40300.0,2024
DED,gdp_pps,35900.0,2024
PL71,gdp_pps,29600.0,2024
ES52,gdp_pps,30800.0,2024
FRI3,gdp_pps,32200.0,2024
DEF,gdp_pps,38600.0,2024
NL13,gdp_pps,38300.0,2024
BE31,gdp_pps,61900.0,2024
SE21,gdp_pps,37200.0,2024
FRH0,gdp_pps,33700.0,2024
DE6,gdp_pps,78300.0,2024
FI20,gdp_pps,44400.0,2024
FRF3,gdp_pps,28800.0,2024
SE12,gdp_pps,38600.0,2024
DEE,gdp_pps,33300.0,2024
IE04,gdp_pps,40000.0,2024
FRF1,gdp_pps,35700.0,2024
LT01,gdp_pps,53000.0,2024
ES21,gdp_pps,45800.0,2024
EL51,gdp_pps,17800.0,2024
BG34,gdp_pps,22600.0,2024
FRC2,gdp_pps,29400.0,2024
FRF2,gdp_pps,34800.0,2024
EL54,gdp_pps,17800.0,2024
NL21,gdp_pps,46400.0,2024
NL12,gdp_pps,39100.0,2024
RS12,gdp_pps,19000.0,2024
FI1B,gdp_pps,51000.0,2024
BE33,gdp_pps,34200.0,2024
NL11,gdp_pps,46800.0,2024
ME0,gdp_pps,21400.0,2024
LT02,gdp_pps,27100.0,2024
PL92,gdp_pps,28500.0,2024
PL91,gdp_pps,62800.0,2024
ES23,gdp_pps,38100.0,2024
FI1D,gdp_pps,35400.0,2024
PL51,gdp_pps,33300.0,2024
PL52,gdp_pps,25300.0,2024
FI19,gdp_pps,37000.0,2024
EL43,gdp_pps,23800.0,2024
EL30,gdp_pps,38200.0,2024
PL43,gdp_pps,25000.0,2024
ES13,gdp_pps,33400.0,2024
IE05,gdp_pps,86500.0,2024
NL42,gdp_pps,44100.0,2024
BG31,gdp_pps,16700.0,2024
FRD1,gdp_pps,31900.0,2024
IE06,gdp_pps,107200.0,2024
BG32,gdp_pps,17300.0,2024
ITC,gdp_pps,48200.0,2024
BE35,gdp_pps,31900.0,2024
PT15,gdp_pps,35600.0,2024
DE1,gdp_pps,52200.0,2024
FRC1,gdp_pps,33000.0,2024
FRB0,gdp_pps,32600.0,2024
BG42,gdp_pps,17300.0,2024
RS11,gdp_pps,34800.0,2024
ES43,gdp_pps,28100.0,2024
FRK1,gdp_pps,31700.0,2024
BE21,gdp_pps,54100.0,2024
SE23,gdp_pps,42700.0,2024
SE31,gdp_pps,33900.0,2024
SE32,gdp_pps,39700.0,2024
HU22,gdp_pps,26400.0,2024
FRJ2,gdp_pps,35600.0,2024
NL22,gdp_pps,45700.0,2024
ES12,gdp_pps,33100.0,2024
FRI1,gdp_pps,34700.0,2024
HU32,gdp_pps,19900.0,2024
PL41,gdp_pps,32900.0,2024
EL53,gdp_pps,19200.0,2024
FI1C,gdp_pps,35700.0,2024
ES62,gdp_pps,30100.0,2024
BE32,gdp_pps,28800.0,2024
ES61,gdp_pps,27400.0,2024
PL72,gdp_pps,24000.0,2024
DEC,gdp_pps,37800.0,2024
EL63,gdp_pps,19500.0,2024
DEB,gdp_pps,40100.0,2024
EL41,gdp_pps,16800.0,2024
EL42,gdp_pps,27900.0,2024
NL34,gdp_pps,45100.0,2024
ITF,gdp_pps,26200.0,2024
BE24,gdp_pps,50900.0,2024
PL63,gdp_pps,29900.0,2024
PL62,gdp_pps,22200.0,2024
ES24,gdp_pps,40900.0,2024
ES42,gdp_pps,29300.0,2024
BE23,gdp_pps,44100.0,2024
FR10,gdp_pps,64000.0,2024
ITG,gdp_pps,25600.0,2024
FRE1,gdp_pps,30800.0,2024
BG41,gdp_pps,42600.0,2024
CY0,gdp_pps,39500.0,2024
FRE2,gdp_pps,29200.0,2024
PL42,gdp_pps,25700.0,2024
EL52,gdp_pps,21900.0,2024
NL32,gdp_pps,69900.0,2024
PL21,gdp_pps,28100.0,2024
HR03,gdp_pps,29200.0,2024
AT12,gdp_pps,39300.0,2024
HR05,gdp_pps,52500.0,2024
EL61,gdp_pps,21000.0,2024
AT32,gdp_pps,58100.0,2024
SK02,gdp_pps,28000.0,2024
AT21,gdp_pps,43800.0,2024
ES64,gdp_pps,23600.0,2024
HR02,gdp_pps,21100.0,2024
SK04,gdp_pps,21400.0,2024
HU21,gdp_pps,26200.0,2024
AT13,gdp_pps,54600.0,2024
BE22,gdp_pps,37500.0,2024
BE10,gdp_pps,76000.0,2024
PL22,gdp_pps,31400.0,2024
FRL0,gdp_pps,38500.0,2024
HU12,gdp_pps,25600.0,2024
PT18,unemployment,7.4,2018
PT16,unemployment,5.7,2018
PT17,unemployment,7.5,2018
NL31,unemployment,3.4,2018
NL33,unemployment,4.3,2018
UKL,unemployment,3.7,2019
UKK,unemployment,2.6,2019
UKI,unemployment,4.3,2019
UKG,unemployment,4.5,2019
UKH,unemployment,2.9,2019
UKC,unemployment,5.6,2019
PL43,unemployment,2.0,2019
UKD,unemployment,4.1,2019
UKF,unemployment,4.0,2019
UKE,unemployment,4.5,2019
UKN,unemployment,2.7,2019
UKM,unemployment,3.5,2019
UKJ,unemployment,3.0,2019
ME0,unemployment,17.9,2020
IS00,unemployment,3.6,2024
FRI2,unemployment,6.2,2025
AT11,unemployment,5.0,2025
FRJ1,unemployment,8.9,2025
AT13,unemployment,9.9,2025
FRH0,unemployment,5.6,2025
DE2,unemployment,3.0,2025
DE3,unemployment,6.5,2025
AT22,unemployment,5.0,2025
FRI3,unemployment,6.4,2025
PL81,unemployment,5.3,2025
DE5,unemployment,5.1,2025
PT11,unemployment,6.3,2025
DE4,unemployment,3.8,2025
PL84,unemployment,2.6,2025
