cntry,trust_mean,religiosity_mean,eduyrs_mean,safety_mean,lrscale_mean,age_mean,urban_pct,diversity_pct,v2x_libdem,wb_gini,wb_unemployment,wb_gdp_per_capita_ppp,gov_exp_year,gov_exp_health,gov_exp_education,gov_exp_social,gov_exp_defence,gov_exp_economic,gov_exp_public_services,gov_exp_culture,dim_openness,dim_transcendence,dim_conservation,dim_enhancement,d_SD,d_UN,d_BE,d_TR,d_CO,d_SE,d_PO,d_AC,d_HE,d_ST,country_name,year
AT,6.0333340186046875,4.315935684307359,13.238442837909618,1.7451820001888732,4.766811143753346,49.178244902274244,36.408711177525156,19.8162668804927,0.777,31.2,5.264,64536.2981841434,2023,9.3,4.967,21.833,0.633,7.533,5.633,1.233,-0.23957086154994534,0.6256955213862953,0.06438505173252472,-0.5002533559780401,0.3882067494961278,0.5386449903845563,0.7127460523880341,-0.24185930572464087,-0.11289699208064957,0.5476806547532251,-0.7029449241649084,-0.2975479910855432,-0.17970947149904515,-0.9272098626469186,Austria,2023
BE,5.388123935662278,4.29860859249129,13.429774148108022,1.9793849090164024,5.024676766914158,47.758651813565336,25.580513419747113,27.27437869568269,0.816,26.8,5.547,71946.1447190292,2023,7.867,6.267,20.2,1.067,6.433,6.8,1.2,-0.03601588101160152,0.6992208916176945,-0.0048007988495563465,-0.7884594603195677,0.36548127289031523,0.6007011236833483,0.7977406595520409,0.09409664455498334,-0.3113472878851804,0.20284824678152802,-1.092201806318855,-0.4847171143202806,0.15887248302265294,-0.6324013989477726,Belgium,2023
BG,3.719592904891998,3.7552390372861946,12.220452178868362,2.5001547341226944,5.3917254388024904,50.03077975360211,43.45178422228918,1.9110928912367462,0.585,39.5,4.319,33073.8179631314,2023,5.433,4.1,13.8,1.433,6.733,3.267,0.667,-0.1538071652079531,0.3256528550124814,0.0731688073268283,-0.25275026493464475,0.10387986974821385,0.1984452892152602,0.45286042080970274,-0.16388622490952195,-0.045503826851731134,0.42596125277277297,-0.6143194123641939,0.10881888249490423,-0.18899605348663218,-0.376305311885441,Bulgaria,2023
CH,5.828853001692826,4.390650938836054,11.828476596183046,1.632141818484524,5.017062529905203,48.64734659889622,18.55933430606044,44.647579872853136,0.841,33.8,4.043,95141.5960943632,2023,2.2,5.167,12.467,0.8,3.833,4.3,0.933,0.0707830044908776,0.7864521636875519,-0.15442628467335434,-0.8418822832784519,0.6187979433555596,0.6973633036238027,0.8755410237513012,-0.04440330457288916,-0.5875151774406351,0.16821264946663395,-1.0194339298994801,-0.6643306366574238,0.22166807048853168,-0.6281170003714587,Switzerland,2023
CY,4.081539764396607,6.592009614584695,12.868983983717133,2.201547435853191,5.232096551082482,50.41097726347231,42.261653894792275,18.35953307948546,0.645,31.8,5.835,51453.7265625,2023,6.0,4.9,13.133,1.7,2.9,5.533,0.567,-0.23350528132419138,0.566583959359663,0.26016957404091456,-0.7409012667483094,0.39877343564894513,0.5214196770166936,0.6117482417026324,0.3040821592512222,-0.25874669080853996,0.7351732536800613,-0.923594637023459,-0.5582078964731598,-0.4765842067593671,-0.6227050728621523,Cyprus,2023
DE,4.926362278502312,3.8443702458233155,13.694360249643932,2.0149574824949332,4.514317975680511,48.882127638145285,30.395669169322442,26.79686411548376,0.812,33.7,3.071,71684.0311875583,2023,7.767,4.467,19.9,1.267,5.6,6.1,1.033,-0.08039627404180948,0.8708552969075503,-0.000959886058627692,-0.9337457245649471,0.5893692530607796,0.7521424951438223,0.9895680986712784,-0.03757741322031627,-0.42445849171642874,0.458530675985199,-1.1646588538885922,-0.702832595241302,0.03291904622839214,-0.8634771214146001,Germany,2023
EE,5.579536785471319,3.105192098569071,13.718935894718404,1.7572075565921224,5.655845619552075,48.24488468524642,42.74961605327775,26.11748063596768,0.849,30.7,6.378,41288.6165892158,2023,6.133,6.1,13.3,3.0,4.933,4.033,1.933,-0.03429793981188348,0.6646551915700358,0.12414945472967816,-0.948638710946579,0.4834308814726138,0.6144283241559496,0.7148820589841219,0.09413907391926835,-0.2559549835612639,0.53426427383103,-1.1826678837264508,-0.7139944260474326,-0.07351577590338428,-0.5130049933396493,Estonia,2023
ES,5.2773612058572406,4.030798235252853,14.602733473607627,1.848132454950793,4.626694183696887,48.8618222615079,28.586542824191717,19.734069439124276,0.763,33.4,12.179,55682.2402603093,2023,6.633,4.2,18.5,0.967,5.233,5.7,1.2,-0.17569273235357039,0.8890893641725209,0.2029748512112961,-1.1284254854926334,0.5603967181959958,0.7845991422737114,0.9935795860713307,0.25665093741089196,-0.25663454091881466,0.6089081571418111,-1.3600573438510521,-0.8967620676461036,-0.1907375598028131,-0.8967373554538939,Spain,2023
FI,6.827175650103056,4.319763681808802,13.949649244331379,1.658332830248614,5.501073501299819,49.4118045790219,37.718440485885566,7.67365062433944,0.825,27.4,7.149,63414.9936878177,2023,7.6,6.067,25.3,1.367,4.7,6.867,1.567,0.04936497415130236,0.8831788625287297,-0.015845059306447508,-1.1449253609722432,0.48000078824562137,0.8448452107036319,0.9215125143538274,-0.3029573497603493,-0.15220543395529448,0.40863805189744257,-1.4063516809235739,-0.8834990410209129,0.19235934461068996,-0.5242652104024043,Finland,2023
FR,4.47343498050148,4.442413141584834,12.796420679838288,2.005523962432353,5.050001433290656,48.201773468741415,27.45476946993952,24.125803527666044,0.81,31.8,7.335,60838.9416716424,2023,8.933,5.033,23.6,1.833,6.267,6.3,1.467,0.02205335448483412,0.8123700374734093,0.08145208618581815,-1.1658458766132114,0.38829821947748544,0.7758811794582249,0.8488588954885936,0.10670780180471577,-0.3019404988469573,0.4392806766738062,-1.3179346212152585,-1.0137571320111642,0.3192566391456945,-0.6413947951686777,France,2023
